id,split
00066667,sft_train
00066667-p0,sft_train
00189f6a,sft_train
001b24c4,sft_train
001c63cb,sft_train
00208201,sft_train
0031df9c,sft_train
0040ff76,sft_train
00463d04,sft_train
0047365c,sft_train
004ef7c7,sft_train
0059df78,sft_train
005ad22a,sft_train
00600e6e,grpo_holdout
00619cba,sft_train
00662ac2,eval_holdout
00674059,sft_train
006a46d3,grpo_holdout
0073bcbb,sft_train
00754598,sft_train
00754598-p0,sft_train
008b52fd,sft_train
009a74b6,sft_train
00a3fd23,sft_train
00a77d86,sft_train
00c8ab45,sft_train
00d1932c,grpo_holdout
00d8b3db,sft_train
00d9f682,eval_holdout
00ec1c63,sft_train
00ed1836,sft_train
00efa37c,sft_train
00fdc0be,sft_train
010055e2,sft_train
0106eb4a,sft_train
0122d53a,sft_train
01248b76,sft_train
0133bcec,sft_train
0140788e,sft_train
01466f0b,sft_train
014c4f83,sft_train
014c7478,sft_train
015430cf,grpo_holdout
0162e157,sft_train
016482c8,sft_train
016c474c,sft_train
01714be2,sft_train
017a161b,sft_train
0184a864,sft_train
0186fc54,sft_train
018871ed,sft_train
018c6f61,sft_train
018d465c,sft_train
01a065bb,sft_train
01a44deb,grpo_holdout
01c5cb71,sft_train
01cd504a,grpo_holdout
01d894fb,sft_train
01d894fb-p0,sft_train
01d96398,grpo_holdout
01e395d0,sft_train
01f7d5de,sft_train
01f8c0c5,sft_train
01f90423,sft_train
01fa1f37,sft_train
0201e198,sft_train
02021540,sft_train
020a2ec4,sft_train
020d8b25,grpo_holdout
02102281,grpo_holdout
0214e81f,sft_train
021ed764,grpo_holdout
021ed764-p0,sft_train
0220c8b2,sft_train
0224a397,sft_train
0228335b,sft_train
022b5f8b,sft_train
022c1a0d,sft_train
02324ba1,sft_train
02356cb8,sft_train
023739fe,eval_holdout
023aa939,sft_train
0240254e,sft_train
024101d9,sft_train
02422609,grpo_holdout
024678e0,sft_train
02473b23,sft_train
025abbbb,sft_train
025abbbb-p0,sft_train
026106f5,sft_train
02778bd7,eval_holdout
028c71d7,sft_train
028fed0d,sft_train
0290f51a,sft_train
02a04b59,sft_train
02a57a2f,sft_train
02a66bcb,sft_train
02b8d816,sft_train
02beaa05,sft_train
02d4b022,sft_train
02da60a0,sft_train
02e2589e,eval_holdout
02e4851e,sft_train
02e70301,eval_holdout
02fae114,eval_holdout
02fb9923,sft_train
030479a6,sft_train
030479a6-p0,sft_train
03135557,sft_train
031a5f02,sft_train
0320b87e,sft_train
0320cf76,sft_train
03249403,sft_train
032fc96f,sft_train
0334b2bf,sft_train
0334b2bf-p0,sft_train
033826f6,sft_train
033d2b33,sft_train
034930e2,sft_train
0375a010,sft_train
037921b9,sft_train
037c45c6,sft_train
037cbabf,sft_train
0383ca89,eval_holdout
039921f2,sft_train
03a04492,sft_train
03abf270,sft_train
03bf2ac0,sft_train
03c5783b,sft_train
03cb7b73,sft_train
03dc4d0c,sft_train
03deaa1c,sft_train
03e2bedc,sft_train
03e3c7b6,grpo_holdout
03ed28b0,sft_train
03ef6857,eval_holdout
03f07b43,sft_train
03f9e9d2,sft_train
03fba6b6,sft_train
03fe3002,sft_train
0409e7d8,sft_train
04171e29,sft_train
04183bf9,sft_train
0422aab3,sft_train
0429104b,sft_train
04322d27,sft_train
0440e6ab,sft_train
0440e6ab-p0,sft_train
04415462,sft_train
0446e032,sft_train
044cac3d,sft_train
044de524,sft_train
045a58f0,sft_train
046e8532,sft_train
04732729,sft_train
04768bb8,grpo_holdout
047b775b,sft_train
047c4111,sft_train
049be61b,grpo_holdout
049d892c,sft_train
04b818d2,sft_train
04c1e45b,sft_train
04c23a05,sft_train
04c44df4,sft_train
04c6aa94,eval_holdout
04d492a9,sft_train
04d492a9-p0,sft_train
04f03c7e,sft_train
04f569be,sft_train
