id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
00066667,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
0031df9c,eval_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
004ef7c7,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
00754598,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
008b52fd,eval_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
009a74b6,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
00fdc0be,eval_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
01248b76,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
016c474c,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
01d894fb,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
01e395d0,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
0201e198,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
02021540,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
021ed764,grpo_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
0228335b,eval_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
02324ba1,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
024101d9,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
025abbbb,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
02778bd7,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
0290f51a,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
02a66bcb,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
030479a6,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
032fc96f,sft_train,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
0334b2bf,grpo_holdout,bit_manipulation,huikang_real_rule_found,huikang_real_bit,true,auto
