id,split
00066667,sft_train
000b53cf,sft_train
00189f6a,sft_train
001b24c4,sft_train
001c63cb,eval_holdout
00208201,sft_train
0031df9c,eval_holdout
0040ff76,sft_train
00463d04,eval_holdout
0047365c,eval_holdout
004ef7c7,sft_train
0059df78,sft_train
005ad22a,sft_train
00600e6e,eval_holdout
00619cba,sft_train
00662ac2,sft_train
00674059,sft_train
006a46d3,sft_train
0073bcbb,eval_holdout
00754598,sft_train
00890aff,sft_train
008b52fd,eval_holdout
009a74b6,sft_train
00a3fd23,eval_holdout
00a77d86,eval_holdout
00c8ab45,sft_train
00d1932c,eval_holdout
00d8b3db,sft_train
00d9f682,sft_train
00ec1c63,sft_train
00ed1836,eval_holdout
00efa37c,sft_train
00fdc0be,eval_holdout
010055e2,sft_train
0106eb4a,sft_train
0122d53a,eval_holdout
01248b76,sft_train
012fb81b,sft_train
0133bcec,sft_train
0140788e,sft_train
01466f0b,sft_train
014c4f83,sft_train
014c7478,sft_train
015430cf,sft_train
0162e157,eval_holdout
016482c8,sft_train
016c474c,sft_train
01714be2,sft_train
017a161b,eval_holdout
0184a864,sft_train
0186fc54,sft_train
018871ed,sft_train
018c6f61,sft_train
018d465c,sft_train
01a065bb,sft_train
01a44deb,grpo_holdout
01c5cb71,sft_train
01cd504a,sft_train
01d894fb,sft_train
01d96398,eval_holdout
01e09228,sft_train
01e395d0,sft_train
01f7d5de,sft_train
01f8c0c5,sft_train
01f90423,sft_train
01fa1f37,sft_train
0201e198,sft_train
02021540,sft_train
020a2ec4,sft_train
020d8b25,sft_train
02102281,sft_train
0214e81f,sft_train
021ed764,grpo_holdout
0220c8b2,sft_train
0224a397,sft_train
0228335b,eval_holdout
022b5f8b,grpo_holdout
022c1a0d,sft_train
02324ba1,sft_train
02356cb8,sft_train
023739fe,sft_train
023aa939,sft_train
0240254e,grpo_holdout
024101d9,sft_train
02422609,sft_train
0245b9bb,sft_train
024678e0,eval_holdout
02473b23,grpo_holdout
025abbbb,sft_train
026106f5,sft_train
02778bd7,sft_train
028c71d7,eval_holdout
028fed0d,sft_train
0290f51a,sft_train
02a04b59,sft_train
02a57a2f,sft_train
02a5a1ca,sft_train
02a66bcb,sft_train
02b8d816,eval_holdout
02beaa05,sft_train
02d4b022,eval_holdout
02da60a0,sft_train
02e2589e,sft_train
02e4851e,sft_train
02e70301,sft_train
02fae114,sft_train
02fb9923,sft_train
030479a6,sft_train
0311b798,sft_train
03135557,sft_train
031a5f02,sft_train
0320b87e,sft_train
0320cf76,sft_train
03249403,sft_train
032fc96f,sft_train
0334b2bf,grpo_holdout
033826f6,sft_train
033d2b33,sft_train
034930e2,sft_train
034fb629,sft_train
0375a010,sft_train
037921b9,sft_train
037c45c6,sft_train
037cbabf,sft_train
0383ca89,sft_train
039921f2,sft_train
03a04492,grpo_holdout
03abf270,sft_train
03bf2ac0,sft_train
03c5783b,sft_train
03cb7b73,sft_train
03dc4d0c,grpo_holdout
03deaa1c,sft_train
03e2bedc,sft_train
03e3c7b6,sft_train
03ed28b0,grpo_holdout
03ef6857,sft_train
03f07b43,sft_train
03f9e9d2,sft_train
03fba6b6,grpo_holdout
03fe3002,sft_train
0409e7d8,sft_train
04171e29,sft_train
04183bf9,sft_train
0422aab3,sft_train
0429104b,sft_train
04322d27,sft_train
0440e6ab,sft_train
04415462,sft_train
0446e032,sft_train
044cac3d,sft_train
044de524,sft_train
045a58f0,sft_train
046e8532,sft_train
04732729,eval_holdout
04768bb8,sft_train
047b775b,sft_train
047c4111,sft_train
048cc279,sft_train
049be61b,sft_train
049d892c,sft_train
04b818d2,sft_train
04c1e45b,sft_train
04c23a05,sft_train
04c44df4,sft_train
04c6aa94,sft_train
04d492a9,sft_train
04d8c3e6,sft_train
04f03c7e,sft_train
04f569be,eval_holdout
050492a9,sft_train
0505ab22,sft_train
05195c8e,sft_train
0520a6ec,eval_holdout
052289d8,sft_train
0528d502,sft_train
0536483a,sft_train
053dbbbc,sft_train
053f4545,grpo_holdout
053f87d3,sft_train
054c2488,sft_train
054d3e92,sft_train
056993ca,sft_train
057fa18f,sft_train
058b2d19,eval_holdout
05978845,sft_train
05992f55,sft_train
059af21b,sft_train
059bced5,sft_train
05aa40de,sft_train
05b5ffe1,sft_train
05c38073,sft_train
05c939be,sft_train
05ca617c,sft_train
05d58fb3,sft_train
05d88aa8,sft_train
05d90bdf,sft_train
05d979c3,sft_train
05e780c4,eval_holdout
05edae97,sft_train
05fc4fcb,sft_train
05fcec41,sft_train
06048616,sft_train
06120e47,sft_train
06181e6a,eval_holdout
062255e8,sft_train
06248efa,sft_train
0624c50c,sft_train
062ccf0e,sft_train
062fd9cb,sft_train
063564fa,eval_holdout
06412918,sft_train
0641ef58,eval_holdout
065abaf6,sft_train
06667a93,sft_train
06698d4e,eval_holdout
067a0668,sft_train
06881e47,sft_train
06907f76,sft_train
06940ba0,sft_train
069813dc,sft_train
0698da5a,sft_train
069dbaab,sft_train
06a9fd5b,sft_train
06b23a36,eval_holdout
06b3ee9d,sft_train
06b5da9f,sft_train
06c2734d,eval_holdout
06d1980f,sft_train
06d682ea,sft_train
06ef5c5c,sft_train
06f838d4,sft_train
07097221,sft_train
070991c8,sft_train
070e986f,sft_train
0712d262,sft_train
0716b06e,sft_train
0718c7c7,sft_train
071d7301,sft_train
07214cbb,sft_train
07249300,sft_train
0734d679,eval_holdout
073942b5,sft_train
073c40ce,sft_train
07417dd5,sft_train
07434d56,sft_train
074f618a,sft_train
075b9aec,grpo_holdout
076fda72,sft_train
0771aa25,sft_train
07735828,sft_train
077b20f7,sft_train
077cfc0b,sft_train
078cfc7b,grpo_holdout
078e4ee7,sft_train
079c8d4f,eval_holdout
07aef27f,sft_train
07b8c3d3,sft_train
07c09384,sft_train
07c3a547,sft_train
07c96a99,sft_train
07cbed38,grpo_holdout
07ceed47,eval_holdout
07d1cd39,sft_train
07d4f5a6,sft_train
07d61ec8,sft_train
07d8149a,sft_train
07e8cf66,sft_train
07e9a377,sft_train
07f8b9ab,sft_train
07faa7e3,sft_train
0805b912,grpo_holdout
080b44aa,sft_train
08111d57,sft_train
081736c8,sft_train
0819520a,sft_train
081ad3f3,sft_train
082c1a06,sft_train
082ef256,sft_train
08324468,sft_train
083882c7,sft_train
0839e9e0,sft_train
084757f1,grpo_holdout
0848cbc0,eval_holdout
084a4496,sft_train
084f0513,grpo_holdout
0855605b,sft_train
0858c338,sft_train
08615ada,sft_train
0866671e,sft_train
086adade,sft_train
086cce4f,sft_train
086e5409,sft_train
08705b5e,sft_train
087cc5ba,sft_train
088d07a3,sft_train
08a161c9,sft_train
08aa9210,sft_train
08ad3b0b,sft_train
08b0756a,sft_train
08b0ee54,grpo_holdout
08b2b48d,grpo_holdout
08bc3a02,sft_train
08d8d7e1,sft_train
08df5363,sft_train
08e9fe0e,sft_train
08f33ade,eval_holdout
08f6216d,sft_train
090a5f54,sft_train
091e3793,sft_train
0925e4c0,grpo_holdout
092ce1c8,eval_holdout
09302769,eval_holdout
09311189,sft_train
093bc4c0,sft_train
093da3ad,sft_train
093de4ea,sft_train
09458326,sft_train
094b8eea,sft_train
094bf548,sft_train
094de91f,grpo_holdout
0956453a,sft_train
095b3eab,sft_train
096bf683,sft_train
09777ee2,grpo_holdout
0978d9f3,sft_train
0980b3e6,grpo_holdout
0982db70,sft_train
09832849,sft_train
0988e4dd,sft_train
098c2ba5,sft_train
09913b3c,sft_train
099b55fe,sft_train
099cb6bf,sft_train
09a4e845,sft_train
09a80640,sft_train
09b26a48,sft_train
09b6b813,sft_train
09bb197a,grpo_holdout
09bb92f4,eval_holdout
09bd635a,sft_train
09c8f227,grpo_holdout
09e5b802,sft_train
09eb1f7e,sft_train
09eb3e58,sft_train
