id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
001b24c4,sft_train,numeral_system,standard,real,true,auto
00600e6e,eval_holdout,numeral_system,standard,real,true,auto
00d9f682,sft_train,numeral_system,standard,real,true,auto
0106eb4a,sft_train,numeral_system,standard,real,true,auto
0122d53a,eval_holdout,numeral_system,standard,real,true,auto
015430cf,sft_train,numeral_system,standard,real,true,auto
0162e157,eval_holdout,numeral_system,standard,real,true,auto
0186fc54,sft_train,numeral_system,standard,real,true,auto
018871ed,sft_train,numeral_system,standard,real,true,auto
018d465c,sft_train,numeral_system,standard,real,true,auto
01f7d5de,sft_train,numeral_system,standard,real,true,auto
020a2ec4,sft_train,numeral_system,standard,real,true,auto
022c1a0d,sft_train,numeral_system,standard,real,true,auto
0240254e,grpo_holdout,numeral_system,standard,real,true,auto
02d4b022,eval_holdout,numeral_system,standard,real,true,auto
02e4851e,sft_train,numeral_system,standard,real,true,auto
02e70301,sft_train,numeral_system,standard,real,true,auto
02fae114,sft_train,numeral_system,standard,real,true,auto
0375a010,sft_train,numeral_system,standard,real,true,auto
0383ca89,sft_train,numeral_system,standard,real,true,auto
039921f2,sft_train,numeral_system,standard,real,true,auto
03abf270,sft_train,numeral_system,standard,real,true,auto
03bf2ac0,sft_train,numeral_system,standard,real,true,auto
03ed28b0,grpo_holdout,numeral_system,standard,real,true,auto
03ef6857,sft_train,numeral_system,standard,real,true,auto
03fe3002,sft_train,numeral_system,standard,real,true,auto
045a58f0,sft_train,numeral_system,standard,real,true,auto
047b775b,sft_train,numeral_system,standard,real,true,auto
04c6aa94,sft_train,numeral_system,standard,real,true,auto
04f03c7e,sft_train,numeral_system,standard,real,true,auto
04f569be,eval_holdout,numeral_system,standard,real,true,auto
05195c8e,sft_train,numeral_system,standard,real,true,auto
052289d8,sft_train,numeral_system,standard,real,true,auto
053dbbbc,sft_train,numeral_system,standard,real,true,auto
054c2488,sft_train,numeral_system,standard,real,true,auto
05978845,sft_train,numeral_system,standard,real,true,auto
05992f55,sft_train,numeral_system,standard,real,true,auto
059bced5,sft_train,numeral_system,standard,real,true,auto
05c939be,sft_train,numeral_system,standard,real,true,auto
05e780c4,eval_holdout,numeral_system,standard,real,true,auto
05fc4fcb,sft_train,numeral_system,standard,real,true,auto
06048616,sft_train,numeral_system,standard,real,true,auto
0624c50c,sft_train,numeral_system,standard,real,true,auto
06c2734d,eval_holdout,numeral_system,standard,real,true,auto
06d1980f,sft_train,numeral_system,standard,real,true,auto
0716b06e,sft_train,numeral_system,standard,real,true,auto
07214cbb,sft_train,numeral_system,standard,real,true,auto
07249300,sft_train,numeral_system,standard,real,true,auto
076fda72,sft_train,numeral_system,standard,real,true,auto
078e4ee7,sft_train,numeral_system,standard,real,true,auto
07c3a547,sft_train,numeral_system,standard,real,true,auto
0805b912,grpo_holdout,numeral_system,standard,real,true,auto
081ad3f3,sft_train,numeral_system,standard,real,true,auto
082ef256,sft_train,numeral_system,standard,real,true,auto
084757f1,grpo_holdout,numeral_system,standard,real,true,auto
086cce4f,sft_train,numeral_system,standard,real,true,auto
08b0756a,sft_train,numeral_system,standard,real,true,auto
08e9fe0e,sft_train,numeral_system,standard,real,true,auto
090a5f54,sft_train,numeral_system,standard,real,true,auto
093bc4c0,sft_train,numeral_system,standard,real,true,auto
094b8eea,sft_train,numeral_system,standard,real,true,auto
09777ee2,grpo_holdout,numeral_system,standard,real,true,auto
0982db70,sft_train,numeral_system,standard,real,true,auto
09b26a48,sft_train,numeral_system,standard,real,true,auto
09bb92f4,eval_holdout,numeral_system,standard,real,true,auto
0a1988b2,grpo_holdout,numeral_system,standard,real,true,auto
0a4b53b4,sft_train,numeral_system,standard,real,true,auto
0aa2c5bf,sft_train,numeral_system,standard,real,true,auto
0aaf8d39,sft_train,numeral_system,standard,real,true,auto
0ab0fe37,sft_train,numeral_system,standard,real,true,auto
0adca57b,sft_train,numeral_system,standard,real,true,auto
0b2877ce,sft_train,numeral_system,standard,real,true,auto
0b34281a,sft_train,numeral_system,standard,real,true,auto
0bb4ba4c,sft_train,numeral_system,standard,real,true,auto
0bb4cc45,sft_train,numeral_system,standard,real,true,auto
0bb68c48,sft_train,numeral_system,standard,real,true,auto
0bd41b01,sft_train,numeral_system,standard,real,true,auto
0c083613,sft_train,numeral_system,standard,real,true,auto
0c4e7430,sft_train,numeral_system,standard,real,true,auto
0c5cf3d9,sft_train,numeral_system,standard,real,true,auto
0c9b74fc,sft_train,numeral_system,standard,real,true,auto
0cce92d8,sft_train,numeral_system,standard,real,true,auto
0cddfe30,sft_train,numeral_system,standard,real,true,auto
0d5d89ea,sft_train,numeral_system,standard,real,true,auto
0da5e774,sft_train,numeral_system,standard,real,true,auto
0dd90079,sft_train,numeral_system,standard,real,true,auto
0e3d5b3d,sft_train,numeral_system,standard,real,true,auto
0e4795a7,sft_train,numeral_system,standard,real,true,auto
0e50e177,grpo_holdout,numeral_system,standard,real,true,auto
0e5846dd,sft_train,numeral_system,standard,real,true,auto
0e700e9d,sft_train,numeral_system,standard,real,true,auto
0e745bd8,sft_train,numeral_system,standard,real,true,auto
0e7fb350,sft_train,numeral_system,standard,real,true,auto
0ea93e44,grpo_holdout,numeral_system,standard,real,true,auto
0eb5030b,sft_train,numeral_system,standard,real,true,auto
0ec03576,sft_train,numeral_system,standard,real,true,auto
0ed7056a,grpo_holdout,numeral_system,standard,real,true,auto
0f067a67,sft_train,numeral_system,standard,real,true,auto
0f5ad104,sft_train,numeral_system,standard,real,true,auto
0f74fa8e,sft_train,numeral_system,standard,real,true,auto
0f7d64e7,sft_train,numeral_system,standard,real,true,auto
0fb02b67,sft_train,numeral_system,standard,real,true,auto
0fb5ac48,eval_holdout,numeral_system,standard,real,true,auto
1029945a,eval_holdout,numeral_system,standard,real,true,auto
