id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
00189f6a,sft_train,text_cipher,standard,real,true,auto
001c63cb,eval_holdout,text_cipher,standard,real,true,auto
005ad22a,sft_train,text_cipher,standard,real,true,auto
00674059,sft_train,text_cipher,standard,real,true,auto
00a3fd23,eval_holdout,text_cipher,standard,real,true,auto
00efa37c,sft_train,text_cipher,standard,real,true,auto
017a161b,eval_holdout,text_cipher,standard,real,true,auto
0184a864,sft_train,text_cipher,standard,real,true,auto
018c6f61,sft_train,text_cipher,standard,real,true,auto
01c5cb71,sft_train,text_cipher,standard,real,true,auto
01fa1f37,sft_train,text_cipher,standard,real,true,auto
02102281,sft_train,text_cipher,standard,real,true,auto
0224a397,sft_train,text_cipher,standard,real,true,auto
022b5f8b,grpo_holdout,text_cipher,standard,real,true,auto
024678e0,eval_holdout,text_cipher,standard,real,true,auto
028fed0d,sft_train,text_cipher,standard,real,true,auto
02e2589e,sft_train,text_cipher,standard,real,true,auto
02fb9923,sft_train,text_cipher,standard,real,true,auto
03135557,sft_train,text_cipher,standard,real,true,auto
03249403,sft_train,text_cipher,standard,real,true,auto
033d2b33,sft_train,text_cipher,standard,real,true,auto
03deaa1c,sft_train,text_cipher,standard,real,true,auto
03e2bedc,sft_train,text_cipher,standard,real,true,auto
03fba6b6,grpo_holdout,text_cipher,standard,real,true,auto
0422aab3,sft_train,text_cipher,standard,real,true,auto
044cac3d,sft_train,text_cipher,standard,real,true,auto
044de524,sft_train,text_cipher,standard,real,true,auto
04768bb8,sft_train,text_cipher,standard,real,true,auto
049be61b,sft_train,text_cipher,standard,real,true,auto
04c1e45b,sft_train,text_cipher,standard,real,true,auto
058b2d19,eval_holdout,text_cipher,standard,real,true,auto
05aa40de,sft_train,text_cipher,standard,real,true,auto
05d90bdf,sft_train,text_cipher,standard,real,true,auto
05d979c3,sft_train,text_cipher,standard,real,true,auto
067a0668,sft_train,text_cipher,standard,real,true,auto
0698da5a,sft_train,text_cipher,standard,real,true,auto
06d682ea,sft_train,text_cipher,standard,real,true,auto
06f838d4,sft_train,text_cipher,standard,real,true,auto
071d7301,sft_train,text_cipher,standard,real,true,auto
0734d679,eval_holdout,text_cipher,standard,real,true,auto
073c40ce,sft_train,text_cipher,standard,real,true,auto
074f618a,sft_train,text_cipher,standard,real,true,auto
0771aa25,sft_train,text_cipher,standard,real,true,auto
079c8d4f,eval_holdout,text_cipher,standard,real,true,auto
07c09384,sft_train,text_cipher,standard,real,true,auto
07faa7e3,sft_train,text_cipher,standard,real,true,auto
08324468,sft_train,text_cipher,standard,real,true,auto
0858c338,sft_train,text_cipher,standard,real,true,auto
0866671e,sft_train,text_cipher,standard,real,true,auto
