id,split,diagnostic_type,diagnostic_subtype,source_mode
00208201,sft_train,unit_conversion,standard,real
0047365c,eval_holdout,unit_conversion,standard,real
0059df78,sft_train,unit_conversion,standard,real
006a46d3,sft_train,unit_conversion,standard,real
00a77d86,eval_holdout,unit_conversion,standard,real
00c8ab45,sft_train,unit_conversion,standard,real
00d1932c,eval_holdout,unit_conversion,standard,real
010055e2,sft_train,unit_conversion,standard,real
0140788e,sft_train,unit_conversion,standard,real
01466f0b,sft_train,unit_conversion,standard,real
014c4f83,sft_train,unit_conversion,standard,real
014c7478,sft_train,unit_conversion,standard,real
016482c8,sft_train,unit_conversion,standard,real
01a44deb,grpo_holdout,unit_conversion,standard,real
01d96398,eval_holdout,unit_conversion,standard,real
01f8c0c5,sft_train,unit_conversion,standard,real
0220c8b2,sft_train,unit_conversion,standard,real
02356cb8,sft_train,unit_conversion,standard,real
023739fe,sft_train,unit_conversion,standard,real
02422609,sft_train,unit_conversion,standard,real
02a57a2f,sft_train,unit_conversion,standard,real
031a5f02,sft_train,unit_conversion,standard,real
033826f6,sft_train,unit_conversion,standard,real
03a04492,grpo_holdout,unit_conversion,standard,real
03c5783b,sft_train,unit_conversion,standard,real
03e3c7b6,sft_train,unit_conversion,standard,real
03f9e9d2,sft_train,unit_conversion,standard,real
0429104b,sft_train,unit_conversion,standard,real
04415462,sft_train,unit_conversion,standard,real
0446e032,sft_train,unit_conversion,standard,real
04732729,eval_holdout,unit_conversion,standard,real
04b818d2,sft_train,unit_conversion,standard,real
050492a9,sft_train,unit_conversion,standard,real
056993ca,sft_train,unit_conversion,standard,real
05c38073,sft_train,unit_conversion,standard,real
05d88aa8,sft_train,unit_conversion,standard,real
05edae97,sft_train,unit_conversion,standard,real
05fcec41,sft_train,unit_conversion,standard,real
062255e8,sft_train,unit_conversion,standard,real
063564fa,eval_holdout,unit_conversion,standard,real
06907f76,sft_train,unit_conversion,standard,real
06940ba0,sft_train,unit_conversion,standard,real
06a9fd5b,sft_train,unit_conversion,standard,real
06b23a36,eval_holdout,unit_conversion,standard,real
06ef5c5c,sft_train,unit_conversion,standard,real
07097221,sft_train,unit_conversion,standard,real
070991c8,sft_train,unit_conversion,standard,real
070e986f,sft_train,unit_conversion,standard,real
0712d262,sft_train,unit_conversion,standard,real
0718c7c7,sft_train,unit_conversion,standard,real
07417dd5,sft_train,unit_conversion,standard,real
075b9aec,grpo_holdout,unit_conversion,standard,real
07735828,sft_train,unit_conversion,standard,real
077cfc0b,sft_train,unit_conversion,standard,real
078cfc7b,grpo_holdout,unit_conversion,standard,real
07d4f5a6,sft_train,unit_conversion,standard,real
07f8b9ab,sft_train,unit_conversion,standard,real
081736c8,sft_train,unit_conversion,standard,real
082c1a06,sft_train,unit_conversion,standard,real
083882c7,sft_train,unit_conversion,standard,real
0839e9e0,sft_train,unit_conversion,standard,real
084f0513,grpo_holdout,unit_conversion,standard,real
087cc5ba,sft_train,unit_conversion,standard,real
08aa9210,sft_train,unit_conversion,standard,real
092ce1c8,eval_holdout,unit_conversion,standard,real
0980b3e6,grpo_holdout,unit_conversion,standard,real
09832849,sft_train,unit_conversion,standard,real
0988e4dd,sft_train,unit_conversion,standard,real
099b55fe,sft_train,unit_conversion,standard,real
09a4e845,sft_train,unit_conversion,standard,real
09eb1f7e,sft_train,unit_conversion,standard,real
0a01cd3a,sft_train,unit_conversion,standard,real
0a0698b2,sft_train,unit_conversion,standard,real
0a28f8c0,sft_train,unit_conversion,standard,real
0a49dd70,sft_train,unit_conversion,standard,real
0ac03e7b,sft_train,unit_conversion,standard,real
0af9158d,sft_train,unit_conversion,standard,real
0b36cffd,sft_train,unit_conversion,standard,real
0b865eea,sft_train,unit_conversion,standard,real
0ba6498d,sft_train,unit_conversion,standard,real
0bbde542,sft_train,unit_conversion,standard,real
0bc7de44,sft_train,unit_conversion,standard,real
0be4c157,sft_train,unit_conversion,standard,real
0be75541,sft_train,unit_conversion,standard,real
0c26f842,sft_train,unit_conversion,standard,real
0c2e102c,sft_train,unit_conversion,standard,real
0ca24ac3,sft_train,unit_conversion,standard,real
0cbe2c1b,sft_train,unit_conversion,standard,real
0d0ab01d,grpo_holdout,unit_conversion,standard,real
0d10d1ae,sft_train,unit_conversion,standard,real
0d3974ba,sft_train,unit_conversion,standard,real
