id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
01cd504a,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_01cd504a_txt,real,true,auto
026106f5,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_026106f5_txt,real,true,auto
03f07b43,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_03f07b43_txt,real,true,auto
04171e29,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_04171e29_txt,real,true,auto
04322d27,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_04322d27_txt,real,true,auto
047c4111,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_047c4111_txt,real,true,auto
0505ab22,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0505ab22_txt,real,true,auto
053f4545,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_053f4545_txt,real,true,auto
0641ef58,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0641ef58_txt,real,true,auto
07aef27f,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_07aef27f_txt,real,true,auto
07cbed38,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_07cbed38_txt,real,true,auto
0819520a,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0819520a_txt,real,true,auto
08d8d7e1,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_08d8d7e1_txt,real,true,auto
09302769,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_09302769_txt,real,true,auto
094bf548,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_094bf548_txt,real,true,auto
0a15c5c7,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0a15c5c7_txt,real,true,auto
0bcffccd,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0bcffccd_txt,real,true,auto
0c0683c3,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0c0683c3_txt,real,true,auto
0c8a8a16,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0c8a8a16_txt,real,true,auto
0cd170a0,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0cd170a0_txt,real,true,auto
0f0536de,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_0f0536de_txt,real,true,auto
1019ee55,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_1019ee55_txt,real,true,auto
10d7bd1b,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_10d7bd1b_txt,real,true,auto
10fdae00,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_10fdae00_txt,real,true,auto
10ff9431,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_10ff9431_txt,real,true,auto
111e3b8e,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_111e3b8e_txt,real,true,auto
114a8d85,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_114a8d85_txt,real,true,auto
118889da,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_118889da_txt,real,true,auto
118f8c86,sft_train,numeric_equation,docs_numeric_equation_motif_override_traces_118f8c86_txt,real,true,auto
