id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
00208201,sft_train,unit_conversion,standard,real,true,auto
0047365c,eval_holdout,unit_conversion,standard,real,true,auto
0059df78,sft_train,unit_conversion,standard,real,true,auto
006a46d3,sft_train,unit_conversion,standard,real,true,auto
00a77d86,eval_holdout,unit_conversion,standard,real,true,auto
00c8ab45,sft_train,unit_conversion,standard,real,true,auto
00d1932c,eval_holdout,unit_conversion,standard,real,true,auto
010055e2,sft_train,unit_conversion,standard,real,true,auto
0140788e,sft_train,unit_conversion,standard,real,true,auto
01466f0b,sft_train,unit_conversion,standard,real,true,auto
014c4f83,sft_train,unit_conversion,standard,real,true,auto
014c7478,sft_train,unit_conversion,standard,real,true,auto
016482c8,sft_train,unit_conversion,standard,real,true,auto
01a44deb,grpo_holdout,unit_conversion,standard,real,true,auto
01d96398,eval_holdout,unit_conversion,standard,real,true,auto
01f8c0c5,sft_train,unit_conversion,standard,real,true,auto
0220c8b2,sft_train,unit_conversion,standard,real,true,auto
02356cb8,sft_train,unit_conversion,standard,real,true,auto
023739fe,sft_train,unit_conversion,standard,real,true,auto
02422609,sft_train,unit_conversion,standard,real,true,auto
02a57a2f,sft_train,unit_conversion,standard,real,true,auto
031a5f02,sft_train,unit_conversion,standard,real,true,auto
033826f6,sft_train,unit_conversion,standard,real,true,auto
03a04492,grpo_holdout,unit_conversion,standard,real,true,auto
03c5783b,sft_train,unit_conversion,standard,real,true,auto
03e3c7b6,sft_train,unit_conversion,standard,real,true,auto
03f9e9d2,sft_train,unit_conversion,standard,real,true,auto
0429104b,sft_train,unit_conversion,standard,real,true,auto
04415462,sft_train,unit_conversion,standard,real,true,auto
0446e032,sft_train,unit_conversion,standard,real,true,auto
04732729,eval_holdout,unit_conversion,standard,real,true,auto
04b818d2,sft_train,unit_conversion,standard,real,true,auto
050492a9,sft_train,unit_conversion,standard,real,true,auto
056993ca,sft_train,unit_conversion,standard,real,true,auto
05c38073,sft_train,unit_conversion,standard,real,true,auto
05d88aa8,sft_train,unit_conversion,standard,real,true,auto
05edae97,sft_train,unit_conversion,standard,real,true,auto
05fcec41,sft_train,unit_conversion,standard,real,true,auto
062255e8,sft_train,unit_conversion,standard,real,true,auto
063564fa,eval_holdout,unit_conversion,standard,real,true,auto
06907f76,sft_train,unit_conversion,standard,real,true,auto
